,dayofweek,startDate_year,startDate_month,startDate_day,startDate_hour,startDate_minute,holiday,schoolHoliday,predicted_load
267,6,2015,5,3,18,30,0,0,154.21162
268,6,2015,5,3,18,45,0,0,154.40958
269,6,2015,5,3,19,0,0,0,154.74147
270,6,2015,5,3,19,15,0,0,155.28464
271,6,2015,5,3,19,30,0,0,156.02625
272,6,2015,5,3,19,45,0,0,156.81828
273,6,2015,5,3,20,0,0,0,161.36922
274,6,2015,5,3,20,15,0,0,162.60826
275,6,2015,5,3,20,30,0,0,165.62915
276,6,2015,5,3,20,45,0,0,169.07355
277,6,2015,5,3,21,0,0,0,177.15944
278,6,2015,5,3,21,15,0,0,181.44327
279,6,2015,5,3,21,30,0,0,186.57451
280,6,2015,5,3,21,45,0,0,191.65004
281,6,2015,5,3,22,0,0,0,201.71925
282,6,2015,5,3,22,15,0,0,204.57135
283,6,2015,5,3,22,30,0,0,206.06104
284,6,2015,5,3,22,45,0,0,206.94882
285,6,2015,5,3,23,0,0,0,207.89633
286,6,2015,5,3,23,15,0,0,208.76218
287,6,2015,5,3,23,30,0,0,209.39622
288,6,2015,5,3,23,45,0,0,209.76997
289,0,2015,5,4,0,0,0,0,211.99734
290,0,2015,5,4,0,15,0,0,211.82954
291,0,2015,5,4,0,30,0,0,210.99304
292,0,2015,5,4,0,45,0,0,210.93216
293,0,2015,5,4,1,0,0,0,214.34319
294,0,2015,5,4,1,15,0,0,214.50636
295,0,2015,5,4,1,30,0,0,214.88095
296,0,2015,5,4,1,45,0,0,215.17793
297,0,2015,5,4,2,0,0,0,215.33836
298,0,2015,5,4,2,15,0,0,215.52766
299,0,2015,5,4,2,30,0,0,216.05263
300,0,2015,5,4,2,45,0,0,216.69254
301,0,2015,5,4,3,0,0,0,223.13522
302,0,2015,5,4,3,15,0,0,226.03961
303,0,2015,5,4,3,30,0,0,229.83731
304,0,2015,5,4,3,45,0,0,232.09222
305,0,2015,5,4,4,0,0,0,244.57628
306,0,2015,5,4,4,15,0,0,250.13614
307,0,2015,5,4,4,30,0,0,253.96358
308,0,2015,5,4,4,45,0,0,257.85565
309,0,2015,5,4,5,0,0,0,274.0567
310,0,2015,5,4,5,15,0,0,284.4374
311,0,2015,5,4,5,30,0,0,292.24985
312,0,2015,5,4,5,45,0,0,301.807
313,0,2015,5,4,6,0,0,0,322.17834
314,0,2015,5,4,6,15,0,0,334.10617
315,0,2015,5,4,6,30,0,0,340.42245
316,0,2015,5,4,6,45,0,0,344.67975
317,0,2015,5,4,7,0,0,0,356.13647
318,0,2015,5,4,7,15,0,0,359.7636
319,0,2015,5,4,7,30,0,0,365.54358
320,0,2015,5,4,7,45,0,0,367.72916
321,0,2015,5,4,8,0,0,0,368.57712
322,0,2015,5,4,8,15,0,0,369.96353
323,0,2015,5,4,8,30,0,0,375.7779
324,0,2015,5,4,8,45,0,0,377.13544
325,0,2015,5,4,9,0,0,0,360.80115
326,0,2015,5,4,9,15,0,0,359.94638
327,0,2015,5,4,9,30,0,0,372.096
328,0,2015,5,4,9,45,0,0,379.21362
329,0,2015,5,4,10,0,0,0,396.9588
330,0,2015,5,4,10,15,0,0,398.00253
331,0,2015,5,4,10,30,0,0,398.55798
332,0,2015,5,4,10,45,0,0,398.8009
333,0,2015,5,4,11,0,0,0,398.04337
334,0,2015,5,4,11,15,0,0,398.22827
335,0,2015,5,4,11,30,0,0,397.7231
336,0,2015,5,4,11,45,0,0,397.43793
337,0,2015,5,4,12,0,0,0,396.92697
338,0,2015,5,4,12,15,0,0,398.49133
339,0,2015,5,4,12,30,0,0,399.28268
340,0,2015,5,4,12,45,0,0,399.68082
341,0,2015,5,4,13,0,0,0,401.89532
342,0,2015,5,4,13,15,0,0,401.43503
343,0,2015,5,4,13,30,0,0,401.9145
344,0,2015,5,4,13,45,0,0,401.51025
345,0,2015,5,4,14,0,0,0,400.55328
346,0,2015,5,4,14,15,0,0,400.18774
347,0,2015,5,4,14,30,0,0,400.91443
348,0,2015,5,4,14,45,0,0,401.50616
349,0,2015,5,4,15,0,0,0,401.32736
350,0,2015,5,4,15,15,0,0,400.63205
351,0,2015,5,4,15,30,0,0,400.92886
352,0,2015,5,4,15,45,0,0,401.19272
353,0,2015,5,4,16,0,0,0,400.00916
354,0,2015,5,4,16,15,0,0,399.255
355,0,2015,5,4,16,30,0,0,399.53433
356,0,2015,5,4,16,45,0,0,399.60834
357,0,2015,5,4,17,0,0,0,390.63287
358,0,2015,5,4,17,15,0,0,390.1136
359,0,2015,5,4,17,30,0,0,390.57397
360,0,2015,5,4,17,45,0,0,390.61176
361,0,2015,5,4,18,0,0,0,385.24368
362,0,2015,5,4,18,15,0,0,384.88715
363,0,2015,5,4,18,30,0,0,385.1888
364,0,2015,5,4,18,45,0,0,385.0094
365,0,2015,5,4,19,0,0,0,385.24292
366,0,2015,5,4,19,15,0,0,385.38046
367,0,2015,5,4,19,30,0,0,385.88733
368,0,2015,5,4,19,45,0,0,386.07733
369,0,2015,5,4,20,0,0,0,385.33826
370,0,2015,5,4,20,15,0,0,385.57068
371,0,2015,5,4,20,30,0,0,386.0675
372,0,2015,5,4,20,45,0,0,386.35852
373,0,2015,5,4,21,0,0,0,385.68427
374,0,2015,5,4,21,15,0,0,385.5902
375,0,2015,5,4,21,30,0,0,385.89334
376,0,2015,5,4,21,45,0,0,385.4771
377,0,2015,5,4,22,0,0,0,374.1135
378,0,2015,5,4,22,15,0,0,373.36462
379,0,2015,5,4,22,30,0,0,373.46182
380,0,2015,5,4,22,45,0,0,373.56958
381,0,2015,5,4,23,0,0,0,367.48935
382,0,2015,5,4,23,15,0,0,363.93283
383,0,2015,5,4,23,30,0,0,363.98376
384,0,2015,5,4,23,45,0,0,364.72192
385,1,2015,5,5,0,0,0,0,352.5524
386,1,2015,5,5,0,15,0,0,349.92252
387,1,2015,5,5,0,30,0,0,347.34387
388,1,2015,5,5,0,45,0,0,347.29678
389,1,2015,5,5,1,0,0,0,340.60577
390,1,2015,5,5,1,15,0,0,339.9552
391,1,2015,5,5,1,30,0,0,340.64066
392,1,2015,5,5,1,45,0,0,341.86246
393,1,2015,5,5,2,0,0,0,339.80243
394,1,2015,5,5,2,15,0,0,338.29648
395,1,2015,5,5,2,30,0,0,335.7922
396,1,2015,5,5,2,45,0,0,336.3599
397,1,2015,5,5,3,0,0,0,342.4014
398,1,2015,5,5,3,15,0,0,343.75003
399,1,2015,5,5,3,30,0,0,342.89224
400,1,2015,5,5,3,45,0,0,343.98886
401,1,2015,5,5,4,0,0,0,346.58527
402,1,2015,5,5,4,15,0,0,348.3228
403,1,2015,5,5,4,30,0,0,348.75934
404,1,2015,5,5,4,45,0,0,352.4633
405,1,2015,5,5,5,0,0,0,366.37714
406,1,2015,5,5,5,15,0,0,372.80978
407,1,2015,5,5,5,30,0,0,377.1343
408,1,2015,5,5,5,45,0,0,382.00192
409,1,2015,5,5,6,0,0,0,390.3644
410,1,2015,5,5,6,15,0,0,397.42816
411,1,2015,5,5,6,30,0,0,400.8838
412,1,2015,5,5,6,45,0,0,403.64093
413,1,2015,5,5,7,0,0,0,405.3231
414,1,2015,5,5,7,15,0,0,405.53854
415,1,2015,5,5,7,30,0,0,406.1903
416,1,2015,5,5,7,45,0,0,406.69427
417,1,2015,5,5,8,0,0,0,407.19617
418,1,2015,5,5,8,15,0,0,407.38693
419,1,2015,5,5,8,30,0,0,407.33466
420,1,2015,5,5,8,45,0,0,407.04108
421,1,2015,5,5,9,0,0,0,389.9724
422,1,2015,5,5,9,15,0,0,387.9999
423,1,2015,5,5,9,30,0,0,396.97278
424,1,2015,5,5,9,45,0,0,401.602
425,1,2015,5,5,10,0,0,0,410.8375
426,1,2015,5,5,10,15,0,0,411.8185
427,1,2015,5,5,10,30,0,0,411.86917
428,1,2015,5,5,10,45,0,0,411.81378
429,1,2015,5,5,11,0,0,0,411.51428
430,1,2015,5,5,11,15,0,0,411.90656
431,1,2015,5,5,11,30,0,0,411.18137
432,1,2015,5,5,11,45,0,0,410.76688
433,1,2015,5,5,12,0,0,0,409.7371
434,1,2015,5,5,12,15,0,0,411.7692
435,1,2015,5,5,12,30,0,0,412.60468
436,1,2015,5,5,12,45,0,0,412.84308
437,1,2015,5,5,13,0,0,0,414.50922
438,1,2015,5,5,13,15,0,0,414.07755
439,1,2015,5,5,13,30,0,0,414.44922
440,1,2015,5,5,13,45,0,0,414.24487
441,1,2015,5,5,14,0,0,0,412.40707
442,1,2015,5,5,14,15,0,0,411.63742
443,1,2015,5,5,14,30,0,0,412.204
444,1,2015,5,5,14,45,0,0,412.7992
445,1,2015,5,5,15,0,0,0,411.87512
446,1,2015,5,5,15,15,0,0,410.8103
447,1,2015,5,5,15,30,0,0,410.58276
448,1,2015,5,5,15,45,0,0,410.78284
449,1,2015,5,5,16,0,0,0,408.27313
450,1,2015,5,5,16,15,0,0,407.09067
451,1,2015,5,5,16,30,0,0,406.96002
452,1,2015,5,5,16,45,0,0,406.66846
453,1,2015,5,5,17,0,0,0,396.5065
454,1,2015,5,5,17,15,0,0,395.56586
455,1,2015,5,5,17,30,0,0,395.72122
456,1,2015,5,5,17,45,0,0,395.38394
457,1,2015,5,5,18,0,0,0,385.9319
458,1,2015,5,5,18,15,0,0,385.12717
459,1,2015,5,5,18,30,0,0,385.15256
460,1,2015,5,5,18,45,0,0,384.7212
461,1,2015,5,5,19,0,0,0,385.27115
462,1,2015,5,5,19,15,0,0,385.2831
463,1,2015,5,5,19,30,0,0,385.46906
464,1,2015,5,5,19,45,0,0,385.3475
465,1,2015,5,5,20,0,0,0,384.92935
466,1,2015,5,5,20,15,0,0,384.9552
467,1,2015,5,5,20,30,0,0,385.17166
468,1,2015,5,5,20,45,0,0,384.96594
469,1,2015,5,5,21,0,0,0,384.79242
470,1,2015,5,5,21,15,0,0,384.71246
471,1,2015,5,5,21,30,0,0,384.84842
472,1,2015,5,5,21,45,0,0,383.53558
473,1,2015,5,5,22,0,0,0,370.46118
474,1,2015,5,5,22,15,0,0,369.72382
475,1,2015,5,5,22,30,0,0,369.77002
476,1,2015,5,5,22,45,0,0,369.26965
477,1,2015,5,5,23,0,0,0,365.48807
478,1,2015,5,5,23,15,0,0,361.54767
479,1,2015,5,5,23,30,0,0,361.57278
480,1,2015,5,5,23,45,0,0,361.64838
481,2,2015,5,6,0,0,0,0,354.88876
482,2,2015,5,6,0,15,0,0,352.47955
483,2,2015,5,6,0,30,0,0,350.3713
484,2,2015,5,6,0,45,0,0,350.4875
485,2,2015,5,6,1,0,0,0,340.17075
486,2,2015,5,6,1,15,0,0,339.59824
487,2,2015,5,6,1,30,0,0,341.17804
488,2,2015,5,6,1,45,0,0,342.2642
489,2,2015,5,6,2,0,0,0,338.4642
490,2,2015,5,6,2,15,0,0,336.9931
491,2,2015,5,6,2,30,0,0,334.99356
492,2,2015,5,6,2,45,0,0,335.3677
493,2,2015,5,6,3,0,0,0,340.4197
494,2,2015,5,6,3,15,0,0,341.57758
495,2,2015,5,6,3,30,0,0,341.45642
496,2,2015,5,6,3,45,0,0,342.65817
497,2,2015,5,6,4,0,0,0,344.067
498,2,2015,5,6,4,15,0,0,345.57947
499,2,2015,5,6,4,30,0,0,346.6879
500,2,2015,5,6,4,45,0,0,350.63852
501,2,2015,5,6,5,0,0,0,364.77197
502,2,2015,5,6,5,15,0,0,370.43713
503,2,2015,5,6,5,30,0,0,375.2353
504,2,2015,5,6,5,45,0,0,380.15582
505,2,2015,5,6,6,0,0,0,388.96317
506,2,2015,5,6,6,15,0,0,395.50974
507,2,2015,5,6,6,30,0,0,399.15146
508,2,2015,5,6,6,45,0,0,401.72055
509,2,2015,5,6,7,0,0,0,403.75125
510,2,2015,5,6,7,15,0,0,403.90488
511,2,2015,5,6,7,30,0,0,404.54816
512,2,2015,5,6,7,45,0,0,404.92862
513,2,2015,5,6,8,0,0,0,405.19666
514,2,2015,5,6,8,15,0,0,405.28528
515,2,2015,5,6,8,30,0,0,405.24756
516,2,2015,5,6,8,45,0,0,405.07578
517,2,2015,5,6,9,0,0,0,388.4466
518,2,2015,5,6,9,15,0,0,386.4005
519,2,2015,5,6,9,30,0,0,395.46902
520,2,2015,5,6,9,45,0,0,399.74948
521,2,2015,5,6,10,0,0,0,408.7919
522,2,2015,5,6,10,15,0,0,409.54218
523,2,2015,5,6,10,30,0,0,409.59824
524,2,2015,5,6,10,45,0,0,409.52747
525,2,2015,5,6,11,0,0,0,409.2313
526,2,2015,5,6,11,15,0,0,409.46347
527,2,2015,5,6,11,30,0,0,408.75604
528,2,2015,5,6,11,45,0,0,408.2564
529,2,2015,5,6,12,0,0,0,407.669
530,2,2015,5,6,12,15,0,0,409.55045
531,2,2015,5,6,12,30,0,0,410.36575
532,2,2015,5,6,12,45,0,0,410.6881
533,2,2015,5,6,13,0,0,0,412.74106
